"","Year","Area","Street","Street.2"
"251",2011,"","Birmingham Road","Birmingham Road"
"252",2011,"","birmingham Road sutton","birmingham Road sutton"
"253",2011,"","Birmingham Road  Erdington"," Birmingham Road, Erdington"
"254",2011,"","Birmingham Road  Sutton Coldfield"," Birmingham Road, Sutton Coldfield"
"255",2011,"","Birmingham Road  Sutton Coldfield"," Birmingham Road, Sutton Coldfield"
"256",2011,"","BOWLING GREEN CLOSE","BOWLING GREEN CLOSE"
"257",2011,"","Bracebridge Road  Erdington"," Bracebridge Road, Erdington"
"258",2011,"","brassington avenue","brassington avenue"
"259",2011,"","Bromford Lane","Bromford Lane"
"260",2011,"","Bromford Lane  Erdington  B ham"," Bromford Lane, Erdington, B'ham"
"261",2011,"","Brookvale park Road","Brookvale park Road"
"262",2011,"","Carhampton Road  Falcon Lodge  Sutton Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield"
"263",2011,"","Carshalton Road","Carshalton Road"
"264",2011,"","carshorlton Road","carshorlton Road"
"265",2011,"","chester rd","chester rd"
"266",2011,"","CHESTER ROAD","CHESTER ROAD"
"267",2011,"","Chester Road  Halls garden Centre"," Chester Road, Halls garden Centre"
"268",2011,"","CHURCH RD AT CHESTER RD","CHURCH RD AT CHESTER RD"
"269",2011,"","College Road  Kingstanding  B ham"," College Road, Kingstanding, B'ham"
"270",2011,"","College Road  Kingstanding  B ham"," College Road, Kingstanding, B'ham"
"271",2011,"","Copshill Court  Mount View  Sutton Coldfield"," Copshill Court, Mount View, Sutton Coldfield"
"272",2011,"","Dovedale Road  Erdington  B ham"," Dovedale Road, Erdington, B'ham"
"273",2011,"","Downside Road  Erdington  B ham"," Downside Road, Erdington, B'ham"
"274",2011,"","Eachelhurt Road  Erdington"," Eachelhurt Road, Erdington"
"275",2011,"","ERDINGTON HALL ROAD","ERDINGTON HALL ROAD"
"276",2011,"","ERDINGTON HALL ROAD","ERDINGTON HALL ROAD"
"277",2011,"","Erdington High Str.","Erdington High Str."
"278",2011,"","Fentham Road  Erdington  B ham"," Fentham Road, Erdington, B'ham"
"279",2011,"","FINCHLEY ROAD","FINCHLEY ROAD"
"280",2011,"","Finchley Road  Kingstanding  B ham"," Finchley Road, Kingstanding, B'ham"
"281",2011,"","GEORGE FREDERICK ROAD","GEORGE FREDERICK ROAD"
"282",2011,"","Golden Pond take away        Boldmere Road","Golden Pond take away ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º Boldmere Road"
"283",2011,"","good hope hospital","good hope hospital"
"284",2011,"","Gracechurch Centre","Gracechurch Centre"
"285",2011,"","Gracechurch centre  outside Supercigs"," Gracechurch centre, outside Supercigs"
"286",2011,"","GraceChurch Shopping Centre  Sutton Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield"
"287",2011,"","grassed area   pype hayes park"," grassed area , pype hayes park...."
"288",2011,"","Gravelley lane","Gravelley lane"
"289",2011,"","Gravelley lane","Gravelley lane"
"290",2011,"","Gravelley lane","Gravelley lane"
"291",2011,"","Gravelly Lane  Erdington  Birmingham"," Gravelly Lane, Erdington, Birmingham"
"292",2011,"","hairy lemon pub  sutton coldfield","hairy lemon pub .sutton coldfield"
"293",2011,"","hairy lemon pub  sutton coldfield","hairy lemon pub .sutton coldfield"
"294",2011,"","Hermatige Road","Hermatige Road"
"295",2011,"","Hermatige Road","Hermatige Road"
"296",2011,"","HERMITAGE DRIVE","HERMITAGE DRIVE"
"297",2011,"","High Str.","High Str."
"298",2011,"","high Str. erdington","high Str. erdington"
"299",2011,"","high Str.  erdington"," high Str., erdington"
"300",2011,"","High Str.  Erdington"," High Str., Erdington"
"301",2011,"","High Str.  S C"," High Str., S/C"
"302",2011,"","High Str.  S C"," High Str., S/C"
"303",2011,"","Hight St ErdINGTON","Hight St ErdINGTON"
"304",2011,"","HUNTON HILL","HUNTON HILL"
"305",2011,"","KFC retail outlet   Erdington High Str."," KFC retail outlet , Erdington High Str."
"306",2011,"","Kingsbury Road  Erdington  B ham"," Kingsbury Road, Erdington, B'ham"
"307",2011,"","Kingstanding Circle","Kingstanding Circle"
"308",2011,"","Ladywell Walk  Birmingham"," Ladywell Walk, Birmingham"
"309",2011,"","Landsdown Road","Landsdown Road"
"310",2011,"","LICHFIELD ROAD  MERE GREEN"," LICHFIELD ROAD, MERE GREEN"
"311",2011,"","LICHFIELD ROAD  SUTTON COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD"
"312",2011,"","Lindridge Road  Sutton Coldfield"," Lindridge Road, Sutton Coldfield"
"313",2011,"","little aston lane","little aston lane"
"314",2011,"","LONGFORD ROAD","LONGFORD ROAD"
"315",2011,"","Longford Road  Kingstanding  B ham"," Longford Road, Kingstanding, B'ham"
"316",2011,"","lower parade","lower parade"
"317",2011,"","LOWER PARADE","LOWER PARADE"
"318",2011,"","lower parade","lower parade"
"319",2011,"","lower parade","lower parade"
"320",2011,"","lower parade","lower parade"
"321",2011,"","lower parade","lower parade"
"322",2011,"","LOWER PARADE","LOWER PARADE"
"323",2011,"","Lower Parade","Lower Parade"
"324",2011,"","Lower Parade","Lower Parade"
"325",2011,"","LOWER PARADE","LOWER PARADE"
"326",2011,"","Lower Parade","Lower Parade"
"327",2011,"","LOWER PARADE","LOWER PARADE"
"328",2011,"","Lower Parade","Lower Parade"
"329",2011,"","LOWER PARADE","LOWER PARADE"
"330",2011,"","LOWER PARADE","LOWER PARADE"
"331",2011,"","Lower Parade","Lower Parade"
"332",2011,"","Lower Parade","Lower Parade"
"333",2011,"","Lower Parade","Lower Parade"
"334",2011,"","LOWER PARADE","LOWER PARADE"
"335",2011,"","lower parade SC","lower parade SC"
"336",2011,"","LOWER PARADE SUTTON","LOWER PARADE SUTTON"
"337",2011,"","Lower Parade Sutton Coldfield","Lower Parade Sutton Coldfield"
"338",2011,"","lower parade"," lower parade,"
"339",2011,"","Lower parade  Suton Coldfield"," Lower parade, Suton Coldfield"
"340",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"341",2011,"","lower parade  sutton coldfield"," lower parade, sutton coldfield"
"342",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"343",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"344",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"345",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"346",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"347",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"348",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"349",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"350",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"351",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"352",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"353",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"354",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"355",2011,"","Lower Parade  Sutton Coldfield town centre"," Lower Parade, Sutton Coldfield town centre"
"356",2011,"","Lower Parade  Sutton Coldfield town Centre"," Lower Parade, Sutton Coldfield town Centre"
"357",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield."
"358",2011,"","lydham close","lydham close"
"359",2011,"","Mill Str.","Mill Str."
"360",2011,"","Mill Str.  Sutton Coldfield"," Mill Str., Sutton Coldfield"
"361",2011,"","moor hall hotel","moor hall hotel"
"362",2011,"","Mulberry Court Carpark  Kings Road  Kingstanding  Birmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham"
"363",2011,"","newhall walk car park","newhall walk car park"
"364",2011,"","newhall walk car park","newhall walk car park"
"365",2011,"","O S H A","O/S H/A"
"366",2011,"","O s Litten Tree","O/s Litten Tree"
"367",2011,"","O S Litten Tree  S C Town Centre"," O/S Litten Tree, S/C Town Centre"
"368",2011,"","O S MooMoo Bar  S c Town Centre"," O/S MooMoo Bar, S/c Town Centre"
"369",2011,"","o s moomoo bar  South parade"," o/s moomoo bar, South parade"
"370",2011,"","o s retro","o/s retro"
"371",2011,"","O S Retro   South parade"," O/S Retro , South parade"
"372",2011,"","O S Retros","O/S Retros"
"373",2011,"","O S Royal Hotel  Lichfield Road"," O/S Royal Hotel, Lichfield Road"
"374",2011,"","o s temple bar","o/s temple bar"
"375",2011,"","O S Temple Bar","O/S Temple Bar"
"376",2011,"","O S Temple Bar  High Str."," O/S Temple Bar, High Str."
"377",2011,"","O s Temple Bar  Lower Parade Sutton Coldfield"," O/s Temple Bar, Lower Parade Sutton Coldfield."
"378",2011,"","O S Temple Bar  S C Town Centre"," O/S Temple Bar, S/C Town Centre"
"379",2011,"","o s temple bar  sutton coldfield  west milands"," o/s temple bar, sutton coldfield, west milands"
"380",2011,"","o s the hairy lemon","o/s the hairy lemon"
"381",2011,"","On pavement outside The Royal Hotel","On pavement outside The Royal Hotel"
"382",2011,"","Ourtside Royal Pub  Lichfield Road  Sutton Coldfield"," Ourtside Royal Pub, Lichfield Road, Sutton Coldfield"
"383",2011,"","outside Glendale Tower  Lyndhurst Estate"," outside Glendale Tower, Lyndhurst Estate"
"384",2011,"","Outside Litten Tree pub  Birmingham Road  Sutton Coldfield"," Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`"
"385",2011,"","Outside Moo Moo Club  Town Centre  Sutton Coldfield"," Outside Moo Moo Club, Town Centre, Sutton Coldfield"
"386",2011,"","Outside Moo Moo night club  South Parade"," Outside Moo Moo night club, South Parade"
